,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
1470,tt1542344,127 Hours,English,USA,94,R,82.0,18000000.0,Twentieth Century Fox,Best Motion Picture of the Year,6,Danny Boyle,Simon Beaufoy,Danny Boyle,James Franco,Amber Tamblyn,Kate Mara,Biography' 'Drama,Biography,Drama,2011-01-28,Winter
1476,tt0416044,Mongol: The Rise of Genghis Khan,Mongolian,Russia,126,R,74.0,18000000.0,Picturehouse,Best Foreign Language Film of the Year,1,Arif Aliev,Sergei Bodrov,Sergei Bodrov,Tadanobu Asano,Amadu Mamadakov,Khulan Chuluun,Action' 'Biography,Action,Biography,2008-07-04,Summer
1477,tt0183659,Pollock,English,USA,122,R,77.0,6000000.0,Sony Pictures Classics,Best Actor in a Leading Role,2,Steven Naifeh,Gregory White Smith,Ed Harris,Ed Harris,Marcia Gay Harden,Robert Knott,Biography' 'Drama,Biography,Drama,2001-03-23,Winter
1479,tt7549996,Judy,English,UK,118,PG-13,66.0,3688333.3333333335,Roadside Attractions,Best Performance by an Actress in a Leading Role,2,Tom Edge,Peter Quilter,Rupert Goold,Renée Zellweger,Jessie Buckley,Finn Wittrock,Biography' 'Drama,Biography,Drama,2019-10-04,Fall
1482,tt0110367,Little Women,English,USA,115,PG,87.0,18000000.0,Columbia Pictures,Best Actress in a Leading Role,9,Louisa May Alcott,Robin Swicord,Gillian Armstrong,Susan Sarandon,Winona Ryder,Kirsten Dunst,Drama' 'Family,Drama,Family,1994-12-25,Winter
1485,tt0078902,Breaking Away,English,USA,101,PG,91.0,2300000.0,Twentieth Century Fox,Best Actress in a Supporting Role,5,Steve Tesich,,Peter Yates,Dennis Christopher,Dennis Quaid,Daniel Stern,Comedy' 'Drama,Comedy,Drama,1979-07-20,Summer
1490,tt1210166,Moneyball,English,USA,133,PG-13,87.0,50000000.0,Columbia Pictures,Best Motion Picture of the Year,6,Steven Zaillian,Aaron Sorkin,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Biography' 'Drama,Biography,Drama,2011-09-23,Fall
1496,tt0161860,Nirgendwo in Afrika,English,Germany,141,R,72.0,,Zeitgeist Films,Best Foreign Language Film,1,Caroline Link,Stefanie Zweig,Caroline Link,Juliane Köhler,Merab Ninidze,Matthias Habich,Biography' 'Drama,Biography,Drama,2003-05-16,Spring
1498,tt0120689,The Green Mile,English,USA,189,R,61.0,60000000.0,Warner Bros.,Best Actor in a Supporting Role,4,Stephen King,Frank Darabont,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Crime' 'Drama,Crime,Drama,1999-12-10,Winter
1502,tt0878804,The Blind Side,English,USA,129,PG-13,53.0,29000000.0,Warner Bros.,Best Motion Picture of the Year,2,John Lee Hancock,Michael Lewis,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Biography' 'Drama,Biography,Drama,2009-11-20,Fall
1504,tt0097239,Driving Miss Daisy,English,USA,99,PG,81.0,7500000.0,Warner Bros.,Best Actor in a Leading Role,9,Alfred Uhry,Alfred Uhry,Bruce Beresford,Morgan Freeman,Jessica Tandy,Dan Aykroyd,Drama,Drama,,1990-01-26,Winter
1520,tt0101921,Fried Green Tomatoes,English,USA,130,PG-13,64.0,11000000.0,Universal Pictures,Best Actress in a Supporting Role,2,Fannie Flagg,Fannie Flagg,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Drama,Drama,,1992-01-24,Winter
1522,tt0369339,Collateral,English,USA,120,R,71.0,65000000.0,DreamWorks Distribution,Best Performance by an Actor in a Supporting Role,2,Stuart Beattie,,Michael Mann,Tom Cruise,Jamie Foxx,Jada Pinkett Smith,Crime' 'Drama,Crime,Drama,2004-08-06,Summer
1524,tt0112573,Braveheart,English,USA,178,R,68.0,72000000.0,Paramount Pictures,Best Cinematography,10,Randall Wallace,,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Biography' 'Drama,Biography,Drama,1995-05-24,Spring
1535,tt1832382,A Separation,Persian,Iran,123,PG-13,95.0,500000.0,Sony Pictures Classics,"Best Writing, Original Screenplay",2,Asghar Farhadi,,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Drama' 'Thriller,Drama,Thriller,2011-03-16,Winter
1537,tt6543652,Cold War,Polish,Poland,89,R,90.0,5000000.0,Amazon Studios,Best Achievement in Directing,3,Pawel Pawlikowski,Pawel Pawlikowski,Pawel Pawlikowski,Joanna Kulig,Tomasz Kot,Borys Szyc,Drama' 'History,Drama,History,2018-06-08,Summer
1541,tt0095953,Rain Man,English,USA,133,R,65.0,25000000.0,United Artists,Best Actor in a Leading Role,8,Barry Morrow,Ronald Bass,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Drama,Drama,,1988-12-16,Winter
1549,tt0352248,Cinderella Man,English,USA,144,PG-13,69.0,88000000.0,Universal Pictures,Best Performance by an Actor in a Supporting Role,3,Cliff Hollingsworth,Akiva Goldsman,Ron Howard,Russell Crowe,Renée Zellweger,Craig Bierko,Biography' 'Drama,Biography,Drama,2005-06-03,Summer
1552,tt0117364,The Portrait of a Lady,English,UK,144,PG-13,61.0,11680000.0,Gramercy Pictures,Best Actress in a Supporting Role,2,Henry James,Laura Jones,Jane Campion,Nicole Kidman,John Malkovich,Barbara Hershey,Drama' 'Romance,Drama,Romance,1997-01-17,Winter
1554,tt0311113,Master and Commander: The Far Side of the World,English,USA,138,PG-13,81.0,150000000.0,Twentieth Century Fox,Best Picture,10,"""Patrick O'Brian""",Peter Weir,Peter Weir,Russell Crowe,Paul Bettany,Billy Boyd,Action' 'Adventure,Action,Adventure,2003-11-14,Fall
1564,tt0277027,I Am Sam,English,USA,132,PG-13,28.0,22000000.0,New Line Cinema,Best Actor in a Leading Role,1,Kristine Johnson,Jessie Nelson,Jessie Nelson,Sean Penn,Michelle Pfeiffer,Dakota Fanning,Drama,Drama,,2002-01-25,Winter
1566,tt0090863,The Color of Money,English,USA,119,R,77.0,13800000.0,Buena Vista Pictures,Best Actor in a Leading Role,4,Walter Tevis,Richard Price,Martin Scorsese,Paul Newman,Tom Cruise,Mary Elizabeth Mastrantonio,Drama' 'Sport,Drama,Sport,1986-10-17,Fall
1570,tt1454468,Gravity,English,UK,91,PG-13,96.0,100000000.0,Warner Bros.,Best Motion Picture of the Year,10,Alfonso Cuarón,Jonás Cuarón,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Drama' 'Sci-Fi,Drama,Sci-Fi,2013-10-04,Fall
1580,tt0113862,Mr. Holland's Opus,English,USA,143,PG,59.0,23000000.0,Buena Vista Pictures,Best Actor in a Leading Role,1,Patrick Sheane Duncan,,Stephen Herek,Richard Dreyfuss,Glenne Headly,Jay Thomas,Drama' 'Music,Drama,Music,1996-01-19,Winter
1581,tt6155172,Roma,Spanish,Mexico,135,R,96.0,88800000.0,Netflix,Best Motion Picture of the Year,10,Alfonso Cuarón,,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Drama,Drama,,2018-11-21,Fall
1592,tt0082970,Ragtime,English,USA,155,PG,57.0,57653608.24742268,Paramount Pictures,Best Actor in a Supporting Role,8,E.L. Doctorow,Michael Weller,Milos Forman,James Cagney,Elizabeth McGovern,Howard E. Rollins Jr.,Drama,Drama,,1981-12-25,Winter
1600,tt0248667,Ali,English,USA,157,R,65.0,107000000.0,Columbia Pictures,Best Actor in a Leading Role,2,Gregory Allen Howard,Stephen J. Rivele,Michael Mann,Will Smith,Jamie Foxx,Jon Voight,Biography' 'Drama,Biography,Drama,2001-12-25,Winter
1603,tt0110684,Nobody's Fool,English,USA,110,R,86.0,20000000.0,Paramount Pictures,Best Actor in a Leading Role,2,Richard Russo,Robert Benton,Robert Benton,Paul Newman,Bruce Willis,Jessica Tandy,Comedy' 'Drama,Comedy,Drama,1995-01-13,Winter
1605,tt3316960,Still Alice,English,USA,101,PG-13,72.0,5000000.0,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,1,Richard Glatzer,Wash Westmoreland,Richard Glatzer,Julianne Moore,Alec Baldwin,Kristen Stewart,Drama,Drama,,2015-02-20,Winter
1606,tt0172493,"Girl, Interrupted",English,USA,127,R,51.0,40000000.0,Columbia Pictures,Best Actress in a Supporting Role,1,Susanna Kaysen,James Mangold,James Mangold,Winona Ryder,Angelina Jolie,Clea DuVall,Biography' 'Drama,Biography,Drama,2000-01-14,Winter
1607,tt0092699,Broadcast News,English,USA,133,R,84.0,20000000.0,Twentieth Century Fox,Best Actor in a Leading Role,7,James L. Brooks,,James L. Brooks,William Hurt,Albert Brooks,Holly Hunter,Comedy' 'Drama,Comedy,Drama,1987-12-25,Winter
1614,tt0274558,The Hours,English,USA,110,PG-13,80.0,25000000.0,Paramount Pictures,Best Picture,9,Michael Cunningham,David Hare,Stephen Daldry,Meryl Streep,Nicole Kidman,Julianne Moore,Drama' 'Romance,Drama,Romance,2003-02-14,Winter
1624,tt0150915,Hilary and Jackie,English,UK,121,R,78.0,7000000.0,October Films,Best Actress in a Leading Role,2,Hilary du Pré,Piers du Pré,Anand Tucker,Emily Watson,Rachel Griffiths,James Frain,Biography' 'Drama,Biography,Drama,1999-02-05,Winter
1626,tt0338013,Eternal Sunshine of the Spotless Mind,English,USA,108,R,89.0,20000000.0,Focus Features,Best Performance by an Actress in a Leading Role,2,Charlie Kaufman,Michel Gondry,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Drama' 'Romance,Drama,Romance,2004-03-19,Winter
1628,tt0327056,Mystic River,English,USA,138,R,84.0,25000000.0,Warner Bros.,Best Picture,6,Brian Helgeland,Dennis Lehane,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Crime' 'Drama,Crime,Drama,2003-10-15,Fall
1634,tt0114388,Sense and Sensibility,English,USA,136,PG,84.0,16000000.0,Columbia Pictures,Best Actress in a Leading Role,7,Jane Austen,Emma Thompson,Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Drama' 'Romance,Drama,Romance,1996-01-26,Winter
1642,tt0120338,Titanic,English,USA,194,PG-13,75.0,200000000.0,Paramount Pictures,Best Actress in a Leading Role,14,James Cameron,,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Drama' 'Romance,Drama,Romance,1997-12-19,Winter
1657,tt4595882,Can You Ever Forgive Me?,English,USA,106,R,87.0,10000000.0,Fox Searchlight Pictures,Best Performance by an Actress in a Leading Role,3,Nicole Holofcener,Jeff Whitty,Marielle Heller,Melissa McCarthy,Richard E. Grant,Dolly Wells,Biography' 'Comedy,Biography,Comedy,2018-11-02,Fall
1660,tt0105695,Unforgiven,English,USA,130,R,85.0,14400000.0,Warner Bros.,Best Actor in a Leading Role,9,David Webb Peoples,,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Drama' 'Western,Drama,Western,1992-08-07,Summer
1669,tt0117318,The People vs. Larry Flynt,English,USA,130,R,79.0,36000000.0,Columbia Pictures,Best Actor in a Leading Role,2,Scott Alexander,Larry Karaszewski,Milos Forman,Woody Harrelson,Courtney Love,Edward Norton,Biography' 'Drama,Biography,Drama,1997-01-10,Winter
1671,tt7286456,Joker,English,USA,122,R,59.0,55000000.0,Warner Bros.,Best Motion Picture of the Year,11,Todd Phillips,Scott Silver,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Crime' 'Drama,Crime,Drama,2019-10-04,Fall
1682,tt1655420,My Week with Marilyn,English,UK,99,R,65.0,27752380.95238095,The Weinstein Company,Best Performance by an Actress in a Leading Role,2,Adrian Hodges,Colin Clark,Simon Curtis,Michelle Williams,Eddie Redmayne,Kenneth Branagh,Biography' 'Drama,Biography,Drama,2011-12-23,Winter
1684,tt1392190,Mad Max: Fury Road,English,Australia,120,R,90.0,150000000.0,Warner Bros.,Best Motion Picture of the Year,10,George Miller,Brendan McCarthy,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Action' 'Adventure,Action,Adventure,2015-05-15,Spring
1694,tt0116695,Jerry Maguire,English,USA,139,R,77.0,50000000.0,TriStar Pictures,Best Actor in a Leading Role,5,Cameron Crowe,,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Comedy' 'Drama,Comedy,Drama,1996-12-13,Winter
1700,tt0424205,Joyeux Noel,French,France,116,PG-13,70.0,22000000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Christian Carion,,Christian Carion,Diane Kruger,Benno Fürmann,Guillaume Canet,Drama' 'History,Drama,History,2005-11-09,Fall
1701,tt0765432,The Baader Meinhof Complex,German,Germany,150,R,76.0,,MPI Home Video,Best Foreign Language Film of the Year,1,Bernd Eichinger,Uli Edel,Uli Edel,Martina Gedeck,Moritz Bleibtreu,Johanna Wokalek,Action' 'Biography,Action,Biography,2008-09-25,Fall
1702,tt0405094,The Lives of Others,German,Germany,137,R,89.0,2000000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Florian Henckel von Donnersmarck,,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Drama' 'Mystery,Drama,Mystery,2007-03-30,Winter
1707,tt4080728,A Man Called Ove,Swedish,Sweden,116,PG-13,70.0,,Music Box Films,Best Achievement in Makeup and Hairstyling,2,Hannes Holm,Fredrik Backman,Hannes Holm,Rolf Lassgård,Bahar Pars,Filip Berg,Comedy' 'Drama,Comedy,Drama,2016-09-30,Fall
1709,tt2334873,Blue Jasmine,English,USA,98,PG-13,78.0,18000000.0,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,3,Woody Allen,,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,Drama,Drama,,2013-08-23,Summer
1715,tt0100405,Pretty Woman,English,USA,119,R,51.0,14000000.0,Buena Vista Pictures,Best Actress in a Leading Role,1,J.F. Lawton,,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,Comedy' 'Romance,Comedy,Romance,1990-03-23,Winter
1716,tt0079522,Manhattan,English,USA,96,R,83.0,9000000.0,United Artists,Best Actress in a Supporting Role,2,Woody Allen,Marshall Brickman,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Comedy' 'Drama,Comedy,Drama,1979-04-25,Spring
1722,tt0488478,12,Russian,Russia,159,PG-13,72.0,4000000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Nikita Mikhalkov,Aleksandr Novototskiy-Vlasov,Nikita Mikhalkov,Sergey Makovetskiy,Sergey Garmash,Apti Magamaev,Crime' 'Drama,Crime,Drama,2007-09-20,Fall
1725,tt0090223,Twice in a Lifetime,English,USA,111,R,58.0,8000000.0,Bud Yorkin Productions,Best Actress in a Supporting Role,1,Colin Welland,,Bud Yorkin,Gene Hackman,Ann-Margret,Ellen Burstyn,Drama' 'Romance,Drama,Romance,1985-11-08,Fall
1726,tt1235166,A Prophet,French,France,155,R,90.0,13000000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Thomas Bidegain,Jacques Audiard,Jacques Audiard,Tahar Rahim,Niels Arestrup,Adel Bencherif,Crime' 'Drama,Crime,Drama,2010-03-26,Winter
1727,tt3808342,Son of Saul,Hungarian,Hungary,107,R,91.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,László Nemes,Clara Royer,László Nemes,Géza Röhrig,Levente Molnár,Urs Rechn,Drama' 'War,Drama,War,2015-06-11,Summer
1728,tt0449059,Little Miss Sunshine,English,USA,101,R,80.0,8000000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,4,Michael Arndt,,Jonathan Dayton,Steve Carell,Toni Collette,Greg Kinnear,Comedy' 'Drama,Comedy,Drama,2006-08-18,Summer
1732,tt0110932,Quiz Show,English,USA,133,PG-13,92.0,31000000.0,Buena Vista Pictures,Best Actor in a Supporting Role,4,Paul Attanasio,Richard N. Goodwin,Robert Redford,Ralph Fiennes,John Turturro,Rob Morrow,Biography' 'Drama,Biography,Drama,1994-10-07,Fall
1736,tt0139654,Training Day,English,USA,122,R,69.0,45000000.0,Warner Bros.,Best Actor in a Leading Role,2,David Ayer,,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Crime' 'Drama,Crime,Drama,2001-10-05,Fall
1739,tt0093105,"Good Morning, Vietnam",English,USA,121,R,67.0,13000000.0,Buena Vista Pictures,Best Actor in a Leading Role,1,Mitch Markowitz,,Barry Levinson,Robin Williams,Forest Whitaker,Tom. T. Tran,Biography' 'Comedy,Biography,Comedy,1988-01-15,Winter
1741,tt0092603,Babette's Feast,Danish,Denmark,103,G,78.0,6100000.0,Orion Classics,Best Foreign Language Film,1,Karen Blixen,Gabriel Axel,Gabriel Axel,Stéphane Audran,Bodil Kjer,Birgitte Federspiel,Drama,Drama,,1988-03-04,Winter
1742,tt0079239,The Great Santini,English,USA,115,PG,64.0,13241176.470588235,Orion Pictures,Best Actor in a Leading Role,2,Pat Conroy,Lewis John Carlino,Lewis John Carlino,Robert Duvall,Blythe Danner,"""Michael O'Keefe""",Drama,Drama,,1979-10-26,Fall
1745,tt0976051,The Reader,English,Germany,124,R,58.0,32000000.0,The Weinstein Company,Best Motion Picture of the Year,5,David Hare,Bernhard Schlink,Stephen Daldry,Kate Winslet,Ralph Fiennes,Bruno Ganz,Drama' 'Romance,Drama,Romance,2009-01-30,Winter
1750,tt1800241,American Hustle,English,USA,138,R,90.0,40000000.0,Sony Pictures Releasing,Best Motion Picture of the Year,10,Eric Warren Singer,David O. Russell,David O. Russell,Christian Bale,Amy Adams,Bradley Cooper,Crime' 'Drama,Crime,Drama,2013-12-20,Winter
1760,tt0185125,All About My Mother,Spanish,Spain,101,R,87.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film,1,Pedro Almodóvar,,Pedro Almodóvar,Cecilia Roth,Marisa Paredes,Candela Peña,Drama,Drama,,2000-03-31,Winter
1761,tt0109446,The Client,English,USA,119,PG-13,65.0,45000000.0,Warner Bros.,Best Actress in a Leading Role,1,John Grisham,Akiva Goldsman,Joel Schumacher,Susan Sarandon,Tommy Lee Jones,Brad Renfro,Crime' 'Drama,Crime,Drama,1994-07-20,Summer
1762,tt2431286,Philomena,English,UK,98,PG-13,77.0,12000000.0,The Weinstein Company,Best Motion Picture of the Year,4,Steve Coogan,Jeff Pope,Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Biography' 'Comedy,Biography,Comedy,2013-11-27,Fall
1766,tt0109830,Forrest Gump,English,USA,142,PG-13,82.0,55000000.0,Paramount Pictures,Best Actor in a Leading Role,13,Winston Groom,Eric Roth,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Drama' 'Romance,Drama,Romance,1994-07-06,Summer
1780,tt0879843,Katyn,Polish,Poland,121,Not Rated,81.0,,Koch Lorber Films,Best Foreign Language Film of the Year,1,Andrzej Mularczyk,Przemyslaw Nowakowski,Andrzej Wajda,Andrzej Chyra,Maja Ostaszewska,Artur Zmijewski,Drama' 'History,Drama,History,2007-09-21,Fall
1781,tt0115751,Breaking the Waves,English,Denmark,159,R,76.0,5750000.0,October Films,Best Actress in a Leading Role,1,Lars von Trier,Peter Asmussen,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Drama,Drama,,1996-11-13,Fall
1782,tt0118564,Affliction,English,USA,114,R,79.0,6000000.0,Lions Gate Films,Best Actor in a Leading Role,2,Russell Banks,Paul Schrader,Paul Schrader,Nick Nolte,Sissy Spacek,James Coburn,Drama' 'Mystery,Drama,Mystery,1999-02-19,Winter
1784,tt0245712,Amores Perros,Spanish,Mexico,154,R,83.0,2000000.0,Lions Gate Films Home Entertainment,Best Foreign Language Film,1,Guillermo Arriaga,,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Drama' 'Thriller,Drama,Thriller,2001-04-13,Spring
1785,tt0475276,United 93,English,USA,111,R,90.0,15000000.0,Universal Pictures,Best Achievement in Directing,2,Paul Greengrass,,Paul Greengrass,David Alan Basche,Olivia Thirlby,Liza Colón-Zayas,Action' 'Drama,Action,Drama,2006-04-28,Spring
1787,tt0100395,Postcards from the Edge,English,USA,101,R,71.0,22000000.0,Columbia Pictures,Best Actress in a Leading Role,2,Carrie Fisher,Carrie Fisher,Mike Nichols,Meryl Streep,Shirley MacLaine,Dennis Quaid,Comedy' 'Drama,Comedy,Drama,1990-09-14,Fall
1789,tt0395169,Hotel Rwanda,English,UK,121,PG-13,79.0,17500000.0,United Artists,Best Performance by an Actor in a Leading Role,3,Keir Pearson,Terry George,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Biography' 'Drama,Biography,Drama,2005-02-04,Winter
1792,tt0100200,Mr. & Mrs. Bridge,English,UK,126,PG-13,73.0,25631250.0,Miramax,Best Actress in a Leading Role,1,Evan S. Connell,Ruth Prawer Jhabvala,James Ivory,Paul Newman,Joanne Woodward,Saundra McClain,Drama,Drama,,1991-01-18,Winter
1793,tt0167260,The Lord of the Rings: The Return of the King,English,New Zealand,201,PG-13,94.0,94000000.0,New Line Cinema,Best Picture,11,J.R.R. Tolkien,Fran Walsh,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Action' 'Adventure,Action,Adventure,2003-12-17,Winter
1804,tt0120601,Being John Malkovich,English,USA,113,R,90.0,13000000.0,USA Films,Best Actress in a Supporting Role,3,Charlie Kaufman,,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,Comedy' 'Drama,Comedy,Drama,1999-12-03,Winter
1808,tt1057500,Invictus,English,USA,134,PG-13,74.0,60000000.0,Warner Bros.,Best Performance by an Actor in a Leading Role,2,Anthony Peckham,John Carlin,Clint Eastwood,Morgan Freeman,Matt Damon,Tony Kgoroge,Biography' 'Drama,Biography,Drama,2009-12-11,Winter
1811,tt0091886,Salvador,English,UK,122,R,69.0,4500000.0,Hemdale,Best Actor in a Leading Role,2,Oliver Stone,Richard Boyle,Oliver Stone,James Woods,Jim Belushi,Michael Murphy,Drama' 'History,Drama,History,1986-04-23,Spring
1813,tt1313092,Animal Kingdom,English,Australia,113,R,83.0,11364285.714285715,Sony Pictures Classics,Best Performance by an Actress in a Supporting Role,1,David Michôd,,David Michôd,James Frecheville,Guy Pearce,Joel Edgerton,Crime' 'Drama,Crime,Drama,2010-06-03,Summer
1814,tt0113987,Nixon,English,USA,192,R,66.0,44000000.0,Buena Vista Pictures,Best Actor in a Leading Role,4,Stephen J. Rivele,Christopher Wilkinson,Oliver Stone,Anthony Hopkins,Joan Allen,Powers Boothe,Biography' 'Drama,Biography,Drama,1996-01-05,Winter
1818,tt0104756,Lorenzo's Oil,English,USA,129,PG-13,80.0,30000000.0,Universal Pictures,Best Actress in a Leading Role,2,George Miller,Nick Enright,George Miller,Nick Nolte,Susan Sarandon,Peter Ustinov,Drama,Drama,,1993-01-29,Winter
1820,tt1517451,A Star Is Born,English,USA,136,R,88.0,36000000.0,Warner Bros.,Best Motion Picture of the Year,8,Eric Roth,Bradley Cooper,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Drama' 'Music,Drama,Music,2018-10-05,Fall
