,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
2292,tt5580036,"I, Tonya",English,UK,119,R,77.0,11000000.0,30WEST,Best Performance by an Actress in a Leading Role,3,Steven Rogers,,Craig Gillespie,Margot Robbie,Sebastian Stan,Allison Janney,Biography' 'Comedy,Biography,Comedy,2018-01-19,Winter
2295,tt0298228,Whale Rider,English,New Zealand,101,PG-13,80.0,3500000.0,Newmarket Films,Best Actress in a Leading Role,1,Niki Caro,Witi Ihimaera,Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Vicky Haughton,Drama' 'Family,Drama,Family,2003-08-29,Summer
2296,tt0299977,Ying xiong,Mandarin,China,120,PG-13,85.0,31000000.0,Walt Disney Studios Home Entertainment,Best Foreign Language Film,1,Feng Li,Yimou Zhang,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Action' 'Adventure,Action,Adventure,2004-08-27,Summer
2297,tt1125849,The Wrestler,English,USA,109,R,80.0,6000000.0,20th Century Fox Home Entertainment,Best Performance by an Actor in a Leading Role,2,Robert Siegel,,Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Drama' 'Sport,Drama,Sport,2009-01-30,Winter
2299,tt0082416,The French Lieutenant's Woman,English,UK,124,R,64.0,20666666.666666668,United Artists,Best Actress in a Leading Role,5,John Fowles,Harold Pinter,Karel Reisz,Meryl Streep,Jeremy Irons,Hilton McRae,Drama' 'Romance,Drama,Romance,1981-10-16,Fall
2304,tt0084707,Sophie's Choice,English,UK,150,R,68.0,12000000.0,Universal Pictures,Best Actress in a Leading Role,5,William Styron,Alan J. Pakula,Alan J. Pakula,Meryl Streep,Kevin Kline,Peter MacNicol,Drama' 'Romance,Drama,Romance,1983-03-04,Winter
2309,tt0283509,No Man's Land,Bosnian,France,98,R,84.0,7000000.0,Metro-Goldwyn-Mayer Distributing Corporation,Best Foreign Language Film,1,Danis Tanovic,,Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Comedy' 'Drama,Comedy,Drama,2001-09-19,Fall
2310,tt0365737,Syriana,English,USA,128,R,76.0,50000000.0,Warner Bros.,Best Performance by an Actor in a Supporting Role,2,Stephen Gaghan,Robert Baer,Stephen Gaghan,George Clooney,Matt Damon,Amanda Peet,Drama' 'Thriller,Drama,Thriller,2005-12-09,Winter
2312,tt1605783,Midnight in Paris,English,Spain,94,PG-13,81.0,17000000.0,Sony Pictures Classics,Best Motion Picture of the Year,4,Woody Allen,,Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Comedy' 'Fantasy,Comedy,Fantasy,2011-06-10,Summer
2317,tt0120402,Ulee's Gold,English,USA,113,R,77.0,2700000.0,Orion Pictures,Best Actor in a Leading Role,1,Victor Nunez,,Victor Nunez,Peter Fonda,Patricia Richardson,Christine Dunford,Drama,Drama,,1997-07-18,Summer
2318,tt0166924,Mulholland Dr.,English,France,147,R,85.0,15000000.0,Universal Pictures,Best Director,1,David Lynch,,David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Drama' 'Mystery,Drama,Mystery,2001-10-19,Fall
2319,tt0096316,Tucker: The Man and His Dream,English,USA,110,PG,74.0,23000000.0,Paramount Pictures,Best Actor in a Supporting Role,3,Arnold Schulman,David Seidler,Francis Ford Coppola,Jeff Bridges,Joan Allen,Martin Landau,Biography' 'Drama,Biography,Drama,1988-08-12,Summer
2322,tt0159365,Cold Mountain,English,USA,154,R,73.0,79000000.0,Miramax,Best Actor in a Leading Role,6,Charles Frazier,Anthony Minghella,Anthony Minghella,Jude Law,Nicole Kidman,Renée Zellweger,Adventure' 'Drama,Adventure,Drama,2003-12-25,Winter
2332,tt0195685,Erin Brockovich,English,USA,131,R,73.0,52000000.0,Universal Pictures,Best Actor in a Supporting Role,5,Susannah Grant,,Steven Soderbergh,Julia Roberts,Albert Finney,David Brisbin,Biography' 'Drama,Biography,Drama,2000-03-17,Winter
2337,tt2180411,Into the Woods,English,USA,125,PG,69.0,50000000.0,Walt Disney Studios Motion Pictures,Best Performance by an Actress in a Supporting Role,3,James Lapine,James Lapine,Rob Marshall,Anna Kendrick,Meryl Streep,Chris Pine,Adventure' 'Comedy,Adventure,Comedy,2014-12-25,Winter
2340,tt0203230,You Can Count on Me,English,USA,111,R,85.0,1200000.0,Paramount Classics,Best Actress in a Leading Role,2,Kenneth Lonergan,,Kenneth Lonergan,Laura Linney,Matthew Broderick,Amy Ryan,Drama,Drama,,2000-12-22,Winter
2342,tt0088683,Agnes of God,English,USA,98,PG-13,52.0,10000000.0,Columbia Pictures,Best Actress in a Leading Role,3,John Pielmeier,John Pielmeier,Norman Jewison,Jane Fonda,Anne Bancroft,Meg Tilly,Drama' 'Mystery,Drama,Mystery,1985-09-27,Fall
2345,tt3830162,A War,Danish,Denmark,115,R,81.0,2900000.0,Magnolia Pictures,Best Foreign Language Film of the Year,1,Tobias Lindholm,,Tobias Lindholm,Pilou Asbæk,Tuva Novotny,Søren Malling,Crime' 'Drama,Crime,Drama,2015-09-10,Fall
2346,tt1445520,Footnote,Hebrew,Israel,107,PG,83.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Joseph Cedar,,Joseph Cedar,Shlomo Bar-Aba,Lior Ashkenazi,Aliza Rosen,Comedy' 'Drama,Comedy,Drama,2011-05-25,Spring
