IMDBId,movie title,director(s),writer(s),casts,genre(s),language,country,runtime (mins),mpaarating,release date,metacritic score,budget,distributionCompany
tt0104237,Damage,['Louis Malle'],"['David Hare', 'Josephine Hart']","['Jeremy Irons', 'Juliette Binoche', 'Miranda Richardson']","['Drama', 'Romance']",English,UK,1h 51min,R,22 January 1993 ,,,New Line Cinema
tt0092603,Babette's Feast,['Gabriel Axel'],"['Karen Blixen', 'Gabriel Axel']","['Stéphane Audran', 'Bodil Kjer', 'Birgitte Federspiel']",['Drama'],Danish,Denmark,1h 43min,G,4 March 1988 ,78.0,,Orion Classics
tt0079239,The Great Santini,['Lewis John Carlino'],"['Pat Conroy', 'Lewis John Carlino']","['Robert Duvall', 'Blythe Danner', ""Michael O'Keefe""]",['Drama'],English,USA,1h 55min,PG,26 October 1979 ,64.0,,Orion Pictures
tt0087091,Country,['Richard Pearce'],['William D. Wittliff'],"['Jessica Lange', 'Sam Shepard', 'Wilford Brimley']",['Drama'],English,USA,1h 45min,PG,29 September 1984 ,,,Buena Vista Pictures
tt0976051,The Reader,['Stephen Daldry'],"['David Hare', 'Bernhard Schlink']","['Kate Winslet', 'Ralph Fiennes', 'Bruno Ganz']","['Drama', 'Romance']",English,Germany,2h 4min,R,30 January 2009 ,58.0,32000000.0,The Weinstein Company
tt1800241,American Hustle,['David O. Russell'],"['Eric Warren Singer', 'David O. Russell']","['Christian Bale', 'Amy Adams', 'Bradley Cooper']","['Crime', 'Drama']",English,USA,2h 18min,R,20 December 2013 ,90.0,40000000.0,Sony Pictures Releasing
tt0185125,All About My Mother,['Pedro Almodóvar'],['Pedro Almodóvar'],"['Cecilia Roth', 'Marisa Paredes', 'Candela Peña']",['Drama'],Spanish,Spain,1h 41min,R,31 March 2000 ,87.0,,Sony Pictures Classics
tt0109446,The Client,['Joel Schumacher'],"['John Grisham', 'Akiva Goldsman', '1 more credit']","['Susan Sarandon', 'Tommy Lee Jones', 'Brad Renfro']","['Crime', 'Drama', 'Mystery', 'Thriller']",English,USA,1h 59min,PG-13,20 July 1994 ,65.0,45000000.0,Warner Bros.
tt2431286,Philomena,['Stephen Frears'],"['Steve Coogan', 'Jeff Pope', '1 more credit']","['Judi Dench', 'Steve Coogan', 'Sophie Kennedy Clark']","['Biography', 'Comedy', 'Drama']",English,UK,1h 38min,PG-13,27 November 2013 ,77.0,12000000.0,The Weinstein Company
tt0109830,Forrest Gump,['Robert Zemeckis'],"['Winston Groom', 'Eric Roth']","['Tom Hanks', 'Robin Wright', 'Gary Sinise']","['Drama', 'Romance']",English,USA,2h 22min,PG-13,6 July 1994 ,82.0,55000000.0,Paramount Pictures
tt0083543,Alsino and the Condor,['Miguel Littin'],"['Isidora Aguirre', 'Miguel Littin', '2 more credits']","['Dean Stockwell', 'Alan Esquivel', 'Carmen Bunster']","['Drama', 'War']",Spanish,Nicaragua,1h 29min,PG,1982 ,,,Libra Cinema 5
tt0879843,Katyn,['Andrzej Wajda'],"['Andrzej Mularczyk', 'Przemyslaw Nowakowski', '2 more credits']","['Andrzej Chyra', 'Maja Ostaszewska', 'Artur Zmijewski']","['Drama', 'History', 'War']",Polish,Poland,2h 1min,Not Rated,21 September 2007 ,81.0,,Koch Lorber Films
tt0115751,Breaking the Waves,['Lars von Trier'],"['Lars von Trier', 'Peter Asmussen']","['Emily Watson', 'Stellan Skarsgård', 'Katrin Cartlidge']",['Drama'],English,Denmark,2h 39min,R,13 November 1996 ,76.0,,October Films
tt0118564,Affliction,['Paul Schrader'],"['Russell Banks', 'Paul Schrader']","['Nick Nolte', 'Sissy Spacek', 'James Coburn']","['Drama', 'Mystery', 'Thriller']",English,USA,1h 54min,R,19 February 1999 ,79.0,6000000.0,Lions Gate Films
tt0245712,Amores Perros,['Alejandro G. Iñárritu'],['Guillermo Arriaga'],"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo']","['Drama', 'Thriller']",Spanish,Mexico,2h 34min,R,13 April 2001 ,83.0,2000000.0,Lions Gate Films Home Entertainment
tt0475276,United 93,['Paul Greengrass'],['Paul Greengrass'],"['David Alan Basche', 'Olivia Thirlby', 'Liza Colón-Zayas']","['Action', 'Drama', 'History', 'Thriller']",English,USA,1h 51min,R,28 April 2006 ,90.0,15000000.0,Universal Pictures
tt0100395,Postcards from the Edge,['Mike Nichols'],"['Carrie Fisher', 'Carrie Fisher']","['Meryl Streep', 'Shirley MacLaine', 'Dennis Quaid']","['Comedy', 'Drama']",English,USA,1h 41min,R,14 September 1990 ,71.0,22000000.0,Columbia Pictures
tt0395169,Hotel Rwanda,['Terry George'],"['Keir Pearson', 'Terry George']","['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix']","['Biography', 'Drama', 'History', 'War']",English,UK,2h 1min,PG-13,4 February 2005 ,79.0,17500000.0,United Artists
tt0100200,Mr. & Mrs. Bridge,['James Ivory'],"['Evan S. Connell', 'Ruth Prawer Jhabvala']","['Paul Newman', 'Joanne Woodward', 'Saundra McClain']",['Drama'],English,UK,2h 6min,PG-13,18 January 1991 ,73.0,,Miramax
tt0167260,The Lord of the Rings: The Return of the King,['Peter Jackson'],"['J.R.R. Tolkien', 'Fran Walsh', '2 more credits']","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']","['Action', 'Adventure', 'Drama', 'Fantasy']",English,New Zealand,3h 21min,PG-13,17 December 2003 ,94.0,94000000.0,New Line Cinema
tt0120601,Being John Malkovich,['Spike Jonze'],['Charlie Kaufman'],"['John Cusack', 'Cameron Diaz', 'Catherine Keener']","['Comedy', 'Drama', 'Fantasy']",English,USA,1h 53min,R,3 December 1999 ,90.0,13000000.0,USA Films
tt0092584,Asignatura aprobada,['José Luis Garci'],"['José Luis Garci', 'José Luis Garci', '2 more credits']","['Jesús Puente', 'Victoria Vera', 'Teresa Gimpera']",['Drama'],Spanish,Spain,1h 34min,1h 34min,,,,
tt1057500,Invictus,['Clint Eastwood'],"['Anthony Peckham', 'John Carlin']","['Morgan Freeman', 'Matt Damon', 'Tony Kgoroge']","['Biography', 'Drama', 'History', 'Sport']",English,USA,2h 14min,PG-13,11 December 2009 ,74.0,60000000.0,Warner Bros.
tt0110880,Poussières de vie,['Rachid Bouchareb'],"['Duyen Anh', 'Rachid Bouchareb', '1 more credit']","['Daniel Guyant', 'Gilles Chitlaphone', 'Jehan Pagès']",['Drama'],French,France,1h 27min,1h 27min,,,,
tt0091886,Salvador,['Oliver Stone'],"['Oliver Stone', 'Richard Boyle']","['James Woods', 'Jim Belushi', 'Michael Murphy']","['Drama', 'History', 'Thriller', 'War']",English,UK,2h 2min,R,23 April 1986 ,69.0,4500000.0,Hemdale
